#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    4   27  -1.100e-01   1.200e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   28  -1.100e-01   1.300e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   29  -1.100e-01   1.400e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   30  -1.100e-01   1.500e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    5    0  -1.000e-01  -1.500e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    1  -1.000e-01  -1.400e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    2  -1.000e-01  -1.300e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    3  -1.000e-01  -1.200e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    4  -1.000e-01  -1.100e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    5  -1.000e-01  -1.000e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    6  -1.000e-01  -9.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    7  -1.000e-01  -8.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    8  -1.000e-01  -7.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5    9  -1.000e-01  -6.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   10  -1.000e-01  -5.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   11  -1.000e-01  -4.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   12  -1.000e-01  -3.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   13  -1.000e-01  -2.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   14  -1.000e-01  -1.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   15  -1.000e-01   0.000e+00   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   16  -1.000e-01   1.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   17  -1.000e-01   2.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   18  -1.000e-01   3.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   19  -1.000e-01   4.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   20  -1.000e-01   5.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   21  -1.000e-01   6.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   22  -1.000e-01   7.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   23  -1.000e-01   8.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   24  -1.000e-01   9.000e-02   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   25  -1.000e-01   1.000e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
